chrom	length	bases	mean	min	max
1	41732233	2234004184	53.53	0	21690
2	47849963	2406260609	50.29	0	9125
3	50382502	2372504660	47.09	0	9030
4	39677845	1933998726	48.74	0	8802
5	46702114	2419169532	51.80	0	19763
6	36371416	1822625003	50.11	0	32782
7	35460007	2308408529	65.10	0	20539
8	40988899	1886197266	46.02	0	22195
9	56381885	3092772409	54.85	0	10034
ML552055	47661	181020	3.80	0	61
ML552056	46909	2148132	45.79	0	450
ML552057	40232	2815705	69.99	0	1136
ML552058	28202	6382359	226.31	0	4720
ML552059	21634	537255	24.83	0	824
total	395731502	20488005389	51.77	0	32782
