chrom	length	bases	mean	min	max
1	41732233	1372362053	32.88	0	32181
2	47849963	1325017936	27.69	0	29201
3	50382502	1329653512	26.39	0	29161
4	39677845	1231235299	31.03	0	32894
5	46702114	1394153671	29.85	0	28818
6	36371416	1156492683	31.80	0	38844
7	35460007	1347199072	37.99	0	29394
8	40988899	1148323801	28.02	0	30748
9	56381885	2346036845	41.61	0	33902
ML552055	47661	87547	1.84	0	25
ML552056	46909	1175190	25.05	0	262
ML552057	40232	3525166	87.62	0	1668
ML552058	28202	2974313	105.46	0	2265
ML552059	21634	790631	36.55	0	1237
total	395731502	12659027719	31.99	0	38844
