chrom	length	bases	mean	min	max
1	41732233	1644499412	39.41	0	33481
2	47849963	1699791807	35.52	0	13180
3	50382502	1682443161	33.39	0	12891
4	39677845	1435022671	36.17	0	16226
5	46702114	1738687149	37.23	0	37083
6	36371416	1317634498	36.23	0	17659
7	35460007	1510277689	42.59	0	18142
8	40988899	1329184071	32.43	0	14517
9	56381885	2332887660	41.38	0	16355
ML552055	47661	260161	5.46	0	59
ML552056	46909	1481316	31.58	0	303
ML552057	40232	9483669	235.72	0	10869
ML552058	28202	2218235	78.66	0	1619
ML552059	21634	1110442	51.33	0	1648
total	395731502	14704981941	37.16	0	37083
