chrom	length	bases	mean	min	max
1	41732233	1543091023	36.98	0	33159
2	47849963	1561453532	32.63	0	21025
3	50382502	1626154233	32.28	0	15920
4	39677845	1237006932	31.18	0	15748
5	46702114	1561490369	33.44	0	23665
6	36371416	1112308806	30.58	0	18020
7	35460007	1309693425	36.93	0	16924
8	40988899	1154804116	28.17	0	16645
9	56381885	2127173763	37.73	0	17305
ML552055	47661	80820	1.70	0	33
ML552056	46909	1375681	29.33	0	258
ML552057	40232	4854136	120.65	0	2087
ML552058	28202	2258336	80.08	0	1632
ML552059	21634	1054853	48.76	0	1596
total	395731502	13242800025	33.46	0	33159
