chrom	length	bases	mean	min	max
1	41732233	1728224426	41.41	0	36263
2	47849963	1640030376	34.27	0	15901
3	50382502	1653156992	32.81	0	16099
4	39677845	1399967434	35.28	0	16004
5	46702114	1694687092	36.29	0	30949
6	36371416	1339848044	36.84	0	29506
7	35460007	1647761100	46.47	0	31110
8	40988899	1364371721	33.29	0	16794
9	56381885	2331974273	41.36	0	17903
ML552055	47661	108888	2.28	0	29
ML552056	46909	1193742	25.45	0	149
ML552057	40232	8739363	217.22	0	8415
ML552058	28202	4349995	154.24	0	3266
ML552059	21634	1125634	52.03	0	1668
total	395731502	14815539080	37.44	0	36263
