chrom	length	bases	mean	min	max
1	41732233	1507637320	36.13	0	32160
2	47849963	1493180680	31.21	0	18188
3	50382502	1517987249	30.13	0	18608
4	39677845	1304617009	32.88	0	19027
5	46702114	1545837278	33.10	0	29261
6	36371416	1284320081	35.31	0	47068
7	35460007	1538341347	43.38	0	40648
8	40988899	1265449942	30.87	0	19900
9	56381885	2250177143	39.91	0	20232
ML552055	47661	131265	2.75	0	39
ML552056	46909	963910	20.55	0	148
ML552057	40232	16125947	400.82	0	21499
ML552058	28202	4173647	147.99	0	3262
ML552059	21634	1143601	52.86	0	1725
total	395731502	13730086419	34.70	0	47068
