chrom	length	bases	mean	min	max
1	41732233	1097787193	26.31	0	27231
2	47849963	1128112777	23.58	0	11639
3	50382502	1122086867	22.27	0	11973
4	39677845	962004941	24.25	0	12158
5	46702114	1154305132	24.72	0	24220
6	36371416	981474905	26.98	0	12980
7	35460007	1035212316	29.19	0	21915
8	40988899	949925777	23.18	0	12497
9	56381885	1624189704	28.81	0	12859
ML552055	47661	73542	1.54	0	26
ML552056	46909	990259	21.11	0	183
ML552057	40232	3203995	79.64	0	1481
ML552058	28202	1310374	46.46	0	1036
ML552059	21634	694154	32.09	0	1029
total	395731502	10061371936	25.42	0	27231
