chrom	length	bases	mean	min	max
1	41732233	1314507128	31.50	0	36027
2	47849963	1348057920	28.17	0	14761
3	50382502	1342818148	26.65	0	15236
4	39677845	1167339128	29.42	0	15156
5	46702114	1375969772	29.46	0	30245
6	36371416	1027510047	28.25	0	16586
7	35460007	1299551728	36.65	0	15279
8	40988899	1131498692	27.61	0	15715
9	56381885	1952706547	34.63	0	16523
ML552055	47661	68300	1.43	0	26
ML552056	46909	1219471	26.00	0	225
ML552057	40232	7801212	193.91	0	6885
ML552058	28202	3313676	117.50	0	2705
ML552059	21634	877599	40.57	0	1332
total	395731502	11973239368	30.26	0	36027
