chrom	length	bases	mean	min	max
1	41732233	1204868860	28.87	0	22680
2	47849963	1224855979	25.60	0	11081
3	50382502	1255573765	24.92	0	11206
4	39677845	1047422204	26.40	0	11796
5	46702114	1264748578	27.08	0	26486
6	36371416	1026296418	28.22	0	37784
7	35460007	1206120542	34.01	0	32246
8	40988899	1037916665	25.32	0	18514
9	56381885	1735133499	30.77	0	11773
ML552055	47661	79037	1.66	0	32
ML552056	46909	1097941	23.41	0	219
ML552057	40232	3502365	87.05	0	1622
ML552058	28202	2332890	82.72	0	1471
ML552059	21634	691519	31.96	0	1086
total	395731502	11010640262	27.82	0	37784
