chrom	length	bases	mean	min	max
1	41732233	1736410132	41.61	0	26969
2	47849963	1841293712	38.48	0	30561
3	50382502	1805465581	35.84	0	23052
4	39677845	1465290857	36.93	0	19018
5	46702114	1642646526	35.17	0	24476
6	36371416	1305917540	35.91	0	20012
7	35460007	1633464238	46.06	0	35176
8	40988899	1247326940	30.43	0	19231
9	56381885	2461546225	43.66	0	19885
ML552055	47661	247809	5.20	0	49
ML552056	46909	1167201	24.88	0	146
ML552057	40232	12473574	310.04	0	15249
ML552058	28202	4159369	147.48	0	2713
ML552059	21634	1011201	46.74	0	853
total	395731502	15158420905	38.30	0	35176
