chrom	length	bases	mean	min	max
1	41732233	1394222329	33.41	0	29708
2	47849963	1438260461	30.06	0	6999
3	50382502	1454943891	28.88	0	12298
4	39677845	1203565659	30.33	0	7383
5	46702114	1466343042	31.40	0	28436
6	36371416	1173711777	32.27	0	39548
7	35460007	1359296021	38.33	0	32001
8	40988899	1221975587	29.81	0	20110
9	56381885	1884850385	33.43	0	7726
ML552055	47661	99231	2.08	0	35
ML552056	46909	1362845	29.05	0	258
ML552057	40232	4397291	109.30	0	2133
ML552058	28202	2543513	90.19	0	1683
ML552059	21634	907189	41.93	0	1439
total	395731502	12606479221	31.86	0	39548
