chrom	length	bases	mean	min	max
1	41732233	1425649393	34.16	0	35518
2	47849963	1542333685	32.23	0	22861
3	50382502	1457180849	28.92	0	21606
4	39677845	1315419265	33.15	0	23900
5	46702114	1523486523	32.62	0	22058
6	36371416	1266773389	34.83	0	24465
7	35460007	1368080831	38.58	0	37157
8	40988899	1159136106	28.28	0	22403
9	56381885	2209435555	39.19	0	23371
ML552055	47661	86093	1.81	0	26
ML552056	46909	1290690	27.51	0	250
ML552057	40232	24441497	607.51	0	23979
ML552058	28202	2475900	87.79	0	1805
ML552059	21634	1270488	58.73	0	1185
total	395731502	13297060264	33.60	0	37157
