chrom	length	bases	mean	min	max
1	41732233	1246483716	29.87	0	25413
2	47849963	1229393160	25.69	0	14556
3	50382502	1233779685	24.49	0	14704
4	39677845	1075658664	27.11	0	14883
5	46702114	1277660372	27.36	0	20940
6	36371416	1039274636	28.57	0	30262
7	35460007	1343880742	37.90	0	23023
8	40988899	1050395618	25.63	0	15672
9	56381885	1835580341	32.56	0	15868
ML552055	47661	94551	1.98	0	27
ML552056	46909	843732	17.99	0	113
ML552057	40232	4590150	114.09	0	2732
ML552058	28202	4125200	146.27	0	3242
ML552059	21634	810840	37.48	0	1236
total	395731502	11342571407	28.66	0	30262
