chrom	length	bases	mean	min	max
1	41732233	1452520989	34.81	0	31505
2	47849963	1510063752	31.56	0	8988
3	50382502	1516792953	30.11	0	11773
4	39677845	1264524023	31.87	0	9635
5	46702114	1537867138	32.93	0	26622
6	36371416	1228592230	33.78	0	34844
7	35460007	1515923518	42.75	0	38234
8	40988899	1232038647	30.06	0	10058
9	56381885	2020968475	35.84	0	10221
ML552055	47661	659907	13.85	0	101
ML552056	46909	1321357	28.17	0	248
ML552057	40232	4751990	118.11	0	1987
ML552058	28202	4445070	157.62	0	3038
ML552059	21634	972627	44.96	0	1379
total	395731502	13291442676	33.59	0	38234
