chrom	length	bases	mean	min	max
1	41732233	1407922193	33.74	0	21705
2	47849963	1463845772	30.59	0	10732
3	50382502	1501177019	29.80	0	16503
4	39677845	1239186036	31.23	0	11256
5	46702114	1485245320	31.80	0	38183
6	36371416	1088605904	29.93	0	11850
7	35460007	1342897998	37.87	0	27782
8	40988899	1160357212	28.31	0	11584
9	56381885	1964415951	34.84	0	12145
ML552055	47661	311606	6.54	0	58
ML552056	46909	831898	17.73	0	126
ML552057	40232	13405421	333.20	0	9690
ML552058	28202	1759473	62.39	0	1417
ML552059	21634	2964527	137.03	0	3037
total	395731502	12672926330	32.02	0	38183
