chrom	length	bases	mean	min	max
1	41732233	1535857955	36.80	0	38016
2	47849963	1571587521	32.84	0	9542
3	50382502	1582214989	31.40	0	13655
4	39677845	1315804391	33.16	0	9728
5	46702114	1604663934	34.36	0	30038
6	36371416	1296501735	35.65	0	43274
7	35460007	1491871496	42.07	0	41681
8	40988899	1290680685	31.49	0	10340
9	56381885	2108246795	37.39	0	10497
ML552055	47661	668096	14.02	0	82
ML552056	46909	1461142	31.15	0	248
ML552057	40232	5817608	144.60	0	2481
ML552058	28202	3044778	107.96	0	2383
ML552059	21634	1134665	52.45	0	1661
total	395731502	13809555790	34.90	0	43274
