chrom	length	bases	mean	min	max
1	41732233	1215835480	29.13	0	17916
2	47849963	1263858266	26.41	0	19326
3	50382502	1150832357	22.84	0	18193
4	39677845	1058789300	26.68	0	22738
5	46702114	1233630338	26.41	0	19781
6	36371416	1041732975	28.64	0	24471
7	35460007	1115014407	31.44	0	28181
8	40988899	915911258	22.35	0	21090
9	56381885	1875119511	33.26	0	23415
ML552055	47661	60872	1.28	0	28
ML552056	46909	1075149	22.92	0	218
ML552057	40232	3172552	78.86	0	1199
ML552058	28202	2283925	80.98	0	1730
ML552059	21634	691668	31.97	0	612
total	395731502	10878008058	27.49	0	28181
