chrom	length	bases	mean	min	max
1	41732233	1312006659	31.44	0	26540
2	47849963	1316912181	27.52	0	26394
3	50382502	1361026783	27.01	0	27680
4	39677845	1192411576	30.05	0	26963
5	46702114	1309859063	28.05	0	27024
6	36371416	1088241667	29.92	0	30848
7	35460007	1250343070	35.26	0	28410
8	40988899	1168979111	28.52	0	28582
9	56381885	2209386994	39.19	0	30006
ML552055	47661	942245	19.77	0	52
ML552056	46909	775868	16.54	0	50
ML552057	40232	7697031	191.32	0	2418
ML552058	28202	2756764	97.75	0	2073
ML552059	21634	3817453	176.46	0	1730
total	395731502	12225156465	30.89	0	30848
