chrom	length	bases	mean	min	max
1	41732233	1201577583	28.79	0	18335
2	47849963	1210993748	25.31	0	18974
3	50382502	1212329885	24.06	0	19048
4	39677845	1097514975	27.66	0	22062
5	46702114	1255929064	26.89	0	18098
6	36371416	1022648523	28.12	0	34164
7	35460007	1141560988	32.19	0	29015
8	40988899	969100107	23.64	0	19680
9	56381885	1912571124	33.92	0	21630
ML552055	47661	131504	2.76	0	50
ML552056	46909	819942	17.48	0	129
ML552057	40232	14834985	368.74	0	17125
ML552058	28202	1800720	63.85	0	1361
ML552059	21634	5891	0.27	0	8
total	395731502	11041819039	27.90	0	34164
