chrom	length	bases	mean	min	max
1	41732233	1488139791	35.66	0	33323
2	47849963	1583960119	33.10	0	27748
3	50382502	1454303756	28.87	0	20083
4	39677845	1258887054	31.73	0	22150
5	46702114	1485698898	31.81	0	22057
6	36371416	1246822841	34.28	0	35095
7	35460007	1463063078	41.26	0	38321
8	40988899	1202024804	29.33	0	20650
9	56381885	2221917224	39.41	0	22008
ML552055	47661	224541	4.71	0	47
ML552056	46909	1329453	28.34	0	239
ML552057	40232	4586969	114.01	0	1977
ML552058	28202	3805691	134.94	0	2886
ML552059	21634	982289	45.40	0	1476
total	395731502	13415746508	33.90	0	38321
