chrom	length	bases	mean	min	max
1	41732233	1538637737	36.87	0	12573
2	47849963	1717213057	35.89	0	20699
3	50382502	1720942475	34.16	0	13531
4	39677845	1291071581	32.54	0	5322
5	46702114	1653042336	35.40	0	13396
6	36371416	1207140633	33.19	0	6136
7	35460007	1426663121	40.23	0	25501
8	40988899	1176968271	28.71	0	5735
9	56381885	2009329480	35.64	0	6458
ML552055	47661	209933	4.40	0	50
ML552056	46909	1152927	24.58	0	165
ML552057	40232	9745922	242.24	0	11146
ML552058	28202	2748311	97.45	0	2077
ML552059	21634	629818	29.11	0	568
total	395731502	13755495602	34.76	0	25501
