chrom	length	bases	mean	min	max
1	41732233	1882651392	45.11	0	36007
2	47849963	1985592578	41.50	0	8900
3	50382502	2039708326	40.48	0	16058
4	39677845	1610146558	40.58	0	9394
5	46702114	2010609112	43.05	0	38961
6	36371416	1485716406	40.85	0	26178
7	35460007	1807195852	50.96	0	30734
8	40988899	1623353799	39.60	0	9536
9	56381885	2562884027	45.46	0	15094
ML552055	47661	164208	3.45	0	52
ML552056	46909	1814816	38.69	0	356
ML552057	40232	5452010	135.51	0	2697
ML552058	28202	3595900	127.51	0	2501
ML552059	21634	1211891	56.02	0	1773
total	395731502	17020096875	43.01	0	38961
