chrom	length	bases	mean	min	max
1	41732233	2246401527	53.83	0	30981
2	47849963	2162552622	45.19	0	33676
3	50382502	1980629769	39.31	0	11684
4	39677845	1634418776	41.19	0	5831
5	46702114	2130712251	45.62	0	21001
6	36371416	1629372700	44.80	0	33329
7	35460007	2103583101	59.32	0	32821
8	40988899	1513725952	36.93	0	9627
9	56381885	2564647374	45.49	0	10449
ML552055	47661	509411	10.69	0	74
ML552056	46909	1420571	30.28	0	154
ML552057	40232	7508392	186.63	0	4999
ML552058	28202	5276012	187.08	0	3917
ML552059	21634	1261558	58.31	0	1622
total	395731502	17982020016	45.44	0	33676
