chrom	length	bases	mean	min	max
1	41732233	1096741385	26.28	0	29891
2	47849963	1133686079	23.69	0	21422
3	50382502	1046726252	20.78	0	11942
4	39677845	873454846	22.01	0	13772
5	46702114	1081299593	23.15	0	16385
6	36371416	875952437	24.08	0	35452
7	35460007	1032556562	29.12	0	21338
8	40988899	796269769	19.43	0	12299
9	56381885	1501346870	26.63	0	13435
ML552055	47661	51451	1.08	0	18
ML552056	46909	961983	20.51	0	181
ML552057	40232	7228281	179.66	0	11651
ML552058	28202	3303888	117.15	0	2590
ML552059	21634	690157	31.90	0	1031
total	395731502	9450269553	23.88	0	35452
