chrom	length	bases	mean	min	max
1	41732233	1358304894	32.55	0	33790
2	47849963	1306147722	27.30	0	26751
3	50382502	1319631372	26.19	0	27468
4	39677845	1210294570	30.50	0	26476
5	46702114	1371080282	29.36	0	27982
6	36371416	1159086131	31.87	0	44464
7	35460007	1336185386	37.68	0	30326
8	40988899	1146846683	27.98	0	28147
9	56381885	2252971377	39.96	0	30539
ML552055	47661	84264	1.77	0	26
ML552056	46909	1154095	24.60	0	230
ML552057	40232	4213924	104.74	0	1940
ML552058	28202	3333770	118.21	0	2623
ML552059	21634	967148	44.71	0	1463
total	395731502	12470301618	31.51	0	44464
