chrom	length	bases	mean	min	max
1	41732233	1505822274	36.08	0	23553
2	47849963	1378980583	28.82	0	3484
3	50382502	1383489791	27.46	0	10245
4	39677845	1132273317	28.54	0	3822
5	46702114	1447746944	31.00	0	26582
6	36371416	1056487292	29.05	0	14362
7	35460007	1364172541	38.47	0	22214
8	40988899	1103225011	26.92	0	9669
9	56381885	1698112707	30.12	0	7860
ML552055	47661	176096	3.69	0	32
ML552056	46909	769562	16.41	0	74
ML552057	40232	7723242	191.97	0	6996
ML552058	28202	3163057	112.16	0	2198
ML552059	21634	807229	37.31	0	1035
total	395731502	12082949646	30.53	0	26582
