chrom	length	bases	mean	min	max
1	41732233	2482722452	59.49	0	33798
2	47849963	2817957976	58.89	0	51058
3	50382502	2693532303	53.46	0	20891
4	39677845	2171823585	54.74	0	11931
5	46702114	2657268139	56.90	0	33035
6	36371416	2004933292	55.12	0	24105
7	35460007	2579575364	72.75	0	43051
8	40988899	2145934336	52.35	0	14597
9	56381885	3366344961	59.71	0	13979
ML552055	47661	191921	4.03	0	73
ML552056	46909	2444482	52.11	0	401
ML552057	40232	9891101	245.85	0	4073
ML552058	28202	5807586	205.93	0	3639
ML552059	21634	2036556	94.14	0	2559
total	395731502	22940464054	57.97	0	51058
