chrom	length	bases	mean	min	max
1	41732233	1547923917	37.09	0	21371
2	47849963	1433901967	29.97	0	19841
3	50382502	1389482337	27.58	0	11799
4	39677845	1103434990	27.81	0	4005
5	46702114	1402589461	30.03	0	29907
6	36371416	1046756029	28.78	0	9648
7	35460007	1363773989	38.46	0	26970
8	40988899	1105932831	26.98	0	9139
9	56381885	1706251243	30.26	0	6315
ML552055	47661	92089	1.93	0	36
ML552056	46909	918348	19.58	0	118
ML552057	40232	10447833	259.69	0	11109
ML552058	28202	2739544	97.14	0	1845
ML552059	21634	873899	40.39	0	1084
total	395731502	12115118477	30.61	0	29907
