chrom	length	bases	mean	min	max
1	41732233	1160874887	27.82	0	15866
2	47849963	1227081082	25.64	0	7832
3	50382502	1211138621	24.04	0	11940
4	39677845	1060572590	26.73	0	3211
5	46702114	1243179790	26.62	0	23428
6	36371416	992091863	27.28	0	38314
7	35460007	1175145765	33.14	0	20194
8	40988899	950006367	23.18	0	22348
9	56381885	1513541013	26.84	0	3884
ML552055	47661	340894	7.15	0	55
ML552056	46909	1116005	23.79	0	194
ML552057	40232	3218229	79.99	0	3145
ML552058	28202	2978151	105.60	0	2439
ML552059	21634	141229	6.53	0	151
total	395731502	10541426486	26.64	0	38314
