chrom	length	bases	mean	min	max
1	41732233	1315882713	31.53	0	33207
2	47849963	1256975300	26.27	0	20174
3	50382502	1272374813	25.25	0	21096
4	39677845	1134212820	28.59	0	23920
5	46702114	1311450802	28.08	0	25427
6	36371416	1102110023	30.30	0	41787
7	35460007	1244795819	35.10	0	34076
8	40988899	1039885669	25.37	0	21375
9	56381885	2020578935	35.84	0	23644
ML552055	47661	178423	3.74	0	37
ML552056	46909	1191006	25.39	0	221
ML552057	40232	3965583	98.57	0	1849
ML552058	28202	2160363	76.60	0	1811
ML552059	21634	903723	41.77	0	1348
total	395731502	11706665992	29.58	0	41787
