chrom	length	bases	mean	min	max
1	41732233	1063263657	25.48	0	27728
2	47849963	1040293929	21.74	0	15230
3	50382502	1079013557	21.42	0	15072
4	39677845	927656043	23.38	0	14379
5	46702114	1097989102	23.51	0	21384
6	36371416	987191661	27.14	0	16954
7	35460007	1129734340	31.86	0	20656
8	40988899	876406685	21.38	0	15762
9	56381885	1631412864	28.94	0	17070
ML552055	47661	139127	2.92	0	30
ML552056	46909	687225	14.65	0	83
ML552057	40232	5440342	135.22	0	6264
ML552058	28202	3694451	131.00	0	2769
ML552059	21634	746916	34.53	0	1153
total	395731502	9843669899	24.87	0	27728
