chrom	length	bases	mean	min	max
1	41732233	1133646688	27.16	0	5248
2	47849963	1289520798	26.95	0	9527
3	50382502	1220601631	24.23	0	6055
4	39677845	1005823762	25.35	0	4407
5	46702114	1233606448	26.41	0	11772
6	36371416	873230062	24.01	0	6491
7	35460007	1083336735	30.55	0	20475
8	40988899	929542964	22.68	0	4470
9	56381885	1566445724	27.78	0	4555
ML552055	47661	93346	1.96	0	36
ML552056	46909	1193983	25.45	0	262
ML552057	40232	1918776	47.69	0	612
ML552058	28202	1733228	61.46	0	1265
ML552059	21634	394543	18.24	0	364
total	395731502	10341088688	26.13	0	20475
