chrom	length	bases	mean	min	max
1	41732233	1620734154	38.84	0	32511
2	47849963	1679545443	35.10	0	7409
3	50382502	1713942683	34.02	0	12991
4	39677845	1391464190	35.07	0	7669
5	46702114	1718728235	36.80	0	27402
6	36371416	1524308007	41.91	0	14421
7	35460007	1623035983	45.77	0	33231
8	40988899	1434052560	34.99	0	10588
9	56381885	2209881313	39.19	0	8263
ML552055	47661	1336233	28.04	0	81
ML552056	46909	1532342	32.67	0	252
ML552057	40232	4654438	115.69	0	2353
ML552058	28202	3468726	123.00	0	2782
ML552059	21634	1109410	51.28	0	1664
total	395731502	14927793717	37.72	0	33231
