chrom	length	bases	mean	min	max
1	41732233	1167997273	27.99	0	35201
2	47849963	1143612223	23.90	0	19175
3	50382502	1177144103	23.36	0	19423
4	39677845	1029539363	25.95	0	22098
5	46702114	1198356407	25.66	0	24414
6	36371416	1002675515	27.57	0	24613
7	35460007	1101742151	31.07	0	19744
8	40988899	966616246	23.58	0	19961
9	56381885	1839234812	32.62	0	21702
ML552055	47661	204583	4.29	0	48
ML552056	46909	1061783	22.63	0	213
ML552057	40232	7529245	187.15	0	7064
ML552058	28202	2074514	73.56	0	1625
ML552059	21634	833470	38.53	0	1159
total	395731502	10638621688	26.88	0	35201
