chrom	length	bases	mean	min	max
1	41732233	1127259304	27.01	0	26704
2	47849963	1084199594	22.66	0	18116
3	50382502	1110778275	22.05	0	19073
4	39677845	976122479	24.60	0	21292
5	46702114	1136496927	24.34	0	20871
6	36371416	977983543	26.89	0	23317
7	35460007	1178983441	33.25	0	25275
8	40988899	920311307	22.45	0	19417
9	56381885	1762185802	31.25	0	20438
ML552055	47661	163328	3.43	0	36
ML552056	46909	1004197	21.41	0	192
ML552057	40232	3586316	89.14	0	1589
ML552058	28202	3536275	125.39	0	2857
ML552059	21634	776262	35.88	0	1180
total	395731502	10283387050	25.99	0	26704
