chrom	length	bases	mean	min	max
1	41732233	1056643665	25.32	0	26493
2	47849963	1040929763	21.75	0	13603
3	50382502	1049211891	20.82	0	14044
4	39677845	918104408	23.14	0	13113
5	46702114	1079549928	23.12	0	20448
6	36371416	888568850	24.43	0	37068
7	35460007	1031360846	29.09	0	21763
8	40988899	894174161	21.82	0	15273
9	56381885	1589830712	28.20	0	15371
ML552055	47661	74421	1.56	0	20
ML552056	46909	897730	19.14	0	163
ML552057	40232	2919425	72.56	0	1360
ML552058	28202	2307781	81.83	0	1837
ML552059	21634	689078	31.85	0	1079
total	395731502	9555262659	24.15	0	37068
