chrom	length	bases	mean	min	max
1	41732233	909228187	21.79	0	12151
2	47849963	919487762	19.22	0	21680
3	50382502	866530554	17.20	0	13127
4	39677845	738783203	18.62	0	2432
5	46702114	868007735	18.59	0	24399
6	36371416	649075482	17.85	0	8735
7	35460007	970681355	27.37	0	28943
8	40988899	665525587	16.24	0	7492
9	56381885	1064435460	18.88	0	4843
ML552055	47661	233343	4.90	0	34
ML552056	46909	645707	13.77	0	58
ML552057	40232	2689690	66.85	0	2649
ML552058	28202	3124949	110.81	0	1719
ML552059	21634	136663	6.32	0	154
total	395731502	7658585677	19.35	0	28943
