chrom	length	bases	mean	min	max
1	41732233	1423063496	34.10	0	23870
2	47849963	1623829347	33.94	0	23632
3	50382502	1535634485	30.48	0	13192
4	39677845	1272335277	32.07	0	8697
5	46702114	1530161613	32.76	0	23348
6	36371416	1300639189	35.76	0	10618
7	35460007	1497788546	42.24	0	34040
8	40988899	1229319928	29.99	0	9350
9	56381885	1972846558	34.99	0	9557
ML552055	47661	1230227	25.81	0	77
ML552056	46909	1364463	29.09	0	235
ML552057	40232	6142766	152.68	0	2211
ML552058	28202	2954706	104.77	0	1604
ML552059	21634	1073383	49.62	0	1320
total	395731502	13398383984	33.86	0	34040
