chrom	length	bases	mean	min	max
1	41732233	1210718287	29.01	0	32203
2	47849963	1125440044	23.52	0	29169
3	50382502	1139445798	22.62	0	31571
4	39677845	1081393032	27.25	0	32244
5	46702114	1235425376	26.45	0	29893
6	36371416	1019251863	28.02	0	40395
7	35460007	1172519298	33.07	0	31648
8	40988899	927974781	22.64	0	31699
9	56381885	2121742518	37.63	0	33499
ML552055	47661	78180	1.64	0	22
ML552056	46909	804210	17.14	0	135
ML552057	40232	9887888	245.77	0	9508
ML552058	28202	3188389	113.06	0	2429
ML552059	21634	808596	37.38	0	1194
total	395731502	11048678260	27.92	0	40395
