chrom	length	bases	mean	min	max
1	41732233	1910008956	45.77	0	28986
2	47849963	1814261184	37.92	0	9924
3	50382502	1823894531	36.20	0	13947
4	39677845	1458698272	36.76	0	4418
5	46702114	1830362663	39.19	0	23914
6	36371416	1481541470	40.73	0	43273
7	35460007	1894079615	53.41	0	29747
8	40988899	1512345687	36.90	0	19824
9	56381885	2233015718	39.61	0	10481
ML552055	47661	1595420	33.47	0	139
ML552056	46909	1324844	28.24	0	157
ML552057	40232	8405657	208.93	0	3674
ML552058	28202	5180835	183.70	0	3418
ML552059	21634	1255565	58.04	0	1579
total	395731502	15975970417	40.37	0	43273
