chrom	length	bases	mean	min	max
1	41732233	1955808863	46.87	0	24173
2	47849963	1865663536	38.99	0	29899
3	50382502	1901612365	37.74	0	14636
4	39677845	1437337631	36.23	0	4747
5	46702114	1823197436	39.04	0	19628
6	36371416	1476451777	40.59	0	9086
7	35460007	1829010779	51.58	0	26165
8	40988899	1345366998	32.82	0	8539
9	56381885	2226218969	39.48	0	7366
ML552055	47661	59751	1.25	0	29
ML552056	46909	835647	17.81	0	142
ML552057	40232	6559308	163.04	0	2830
ML552058	28202	5235116	185.63	0	2975
ML552059	21634	1010473	46.71	0	828
total	395731502	15874368649	40.11	0	29899
