chrom	length	bases	mean	min	max
1	41732233	1212109241	29.04	0	39423
2	47849963	1129983916	23.62	0	27853
3	50382502	1140974222	22.65	0	29400
4	39677845	1074355788	27.08	0	30618
5	46702114	1187672672	25.43	0	28536
6	36371416	908832297	24.99	0	34336
7	35460007	1230067364	34.69	0	30007
8	40988899	939331951	22.92	0	29686
9	56381885	2065702035	36.64	0	31514
ML552055	47661	465598	9.77	0	67
ML552056	46909	738761	15.75	0	96
ML552057	40232	12502252	310.75	0	15925
ML552058	28202	5093027	180.59	0	3829
ML552059	21634	889668	41.12	0	1227
total	395731502	10908718792	27.57	0	39423
