chrom	length	bases	mean	min	max
1	41732233	1642872831	39.37	0	24454
2	47849963	1596227473	33.36	0	32461
3	50382502	1573784942	31.24	0	14213
4	39677845	1353709097	34.12	0	11390
5	46702114	1656782649	35.48	0	48719
6	36371416	1237518321	34.02	0	14963
7	35460007	1517863357	42.80	0	27596
8	40988899	1256307702	30.65	0	14396
9	56381885	2162870442	38.36	0	14654
ML552055	47661	88476	1.86	0	25
ML552056	46909	1015436	21.65	0	130
ML552057	40232	12147667	301.94	0	10097
ML552058	28202	4638287	164.47	0	3614
ML552059	21634	1055607	48.79	0	811
total	395731502	14016882287	35.42	0	48719
