chrom	length	bases	mean	min	max
1	41732233	1240929273	29.74	0	25467
2	47849963	1220343112	25.50	0	16215
3	50382502	1236621460	24.54	0	17811
4	39677845	1071556636	27.01	0	19172
5	46702114	1260603137	26.99	0	20554
6	36371416	1045774281	28.75	0	33613
7	35460007	1206140664	34.01	0	24746
8	40988899	975470962	23.80	0	19487
9	56381885	1852749050	32.86	0	18693
ML552055	47661	100579	2.11	0	43
ML552056	46909	1127693	24.04	0	213
ML552057	40232	4494379	111.71	0	1881
ML552058	28202	2737061	97.05	0	2338
ML552059	21634	921685	42.60	0	1254
total	395731502	11119569972	28.10	0	33613
