chrom	length	bases	mean	min	max
1	41732233	1091809649	26.16	0	22486
2	47849963	972332692	20.32	0	2749
3	50382502	999825280	19.84	0	10186
4	39677845	803042365	20.24	0	3058
5	46702114	1024867809	21.94	0	32119
6	36371416	767716921	21.11	0	12847
7	35460007	1164580660	32.84	0	26875
8	40988899	799337346	19.50	0	8640
9	56381885	1235711816	21.92	0	4326
ML552055	47661	171176	3.59	0	52
ML552056	46909	755837	16.11	0	77
ML552057	40232	12348991	306.94	0	12733
ML552058	28202	4767600	169.05	0	2271
ML552059	21634	783121	36.20	0	1061
total	395731502	8878051263	22.43	0	32119
