chrom	length	bases	mean	min	max
1	41732233	1331851280	31.91	0	25893
2	47849963	1336467409	27.93	0	12885
3	50382502	1344393961	26.68	0	13509
4	39677845	1160585979	29.25	0	14005
5	46702114	1381020973	29.57	0	25766
6	36371416	1109525764	30.51	0	24472
7	35460007	1330880055	37.53	0	36925
8	40988899	1123751132	27.42	0	14031
9	56381885	1918940676	34.03	0	14107
ML552055	47661	89997	1.89	0	26
ML552056	46909	812210	17.31	0	102
ML552057	40232	9296566	231.07	0	10506
ML552058	28202	2686417	95.26	0	1811
ML552059	21634	852681	39.41	0	1263
total	395731502	12051155100	30.45	0	36925
