chrom	length	bases	mean	min	max
1	41732233	1101531026	26.40	0	29208
2	47849963	1214629106	25.38	0	24904
3	50382502	1110042438	22.03	0	20779
4	39677845	984558820	24.81	0	22458
5	46702114	1118719477	23.95	0	21011
6	36371416	1028054789	28.27	0	24789
7	35460007	1126271481	31.76	0	25180
8	40988899	959481065	23.41	0	22074
9	56381885	1825826008	32.38	0	23273
ML552055	47661	73881	1.55	0	21
ML552056	46909	1014308	21.62	0	199
ML552057	40232	3224008	80.14	0	1632
ML552058	28202	2776929	98.47	0	2211
ML552059	21634	736066	34.02	0	1119
total	395731502	10476939402	26.47	0	29208
