chrom	length	bases	mean	min	max
1	41732233	1287772209	30.86	0	25864
2	47849963	1433921050	29.97	0	24036
3	50382502	1373814612	27.27	0	13544
4	39677845	1124792731	28.35	0	8223
5	46702114	1355069626	29.02	0	23629
6	36371416	1084032016	29.80	0	17143
7	35460007	1324395616	37.35	0	29694
8	40988899	1091520329	26.63	0	12628
9	56381885	1759664301	31.21	0	8080
ML552055	47661	143856	3.02	0	63
ML552056	46909	1220813	26.03	0	209
ML552057	40232	5993520	148.97	0	2196
ML552058	28202	3082252	109.29	0	1887
ML552059	21634	1129944	52.23	0	1349
total	395731502	11846552875	29.94	0	29694
