chrom	length	bases	mean	min	max
1	41732233	1694493542	40.60	0	27115
2	47849963	1699212868	35.51	0	3120
3	50382502	1735168922	34.44	0	15074
4	39677845	1360015206	34.28	0	3395
5	46702114	1735744028	37.17	0	30019
6	36371416	1392460993	38.28	0	18176
7	35460007	1528392629	43.10	0	27997
8	40988899	1348855629	32.91	0	12742
9	56381885	2091096505	37.09	0	8891
ML552055	47661	156531	3.28	0	59
ML552056	46909	1141321	24.33	0	145
ML552057	40232	8143006	202.40	0	3831
ML552058	28202	2126656	75.41	0	1477
ML552059	21634	1149637	53.14	0	1465
total	395731502	14598157473	36.89	0	30019
