chrom	length	bases	mean	min	max
1	41732233	1588795037	38.07	0	45032
2	47849963	1634874862	34.17	0	9708
3	50382502	1692583881	33.59	0	17422
4	39677845	1370530117	34.54	0	9923
5	46702114	1668855998	35.73	0	31715
6	36371416	1351769562	37.17	0	50292
7	35460007	1629568037	45.96	0	40022
8	40988899	1289003565	31.45	0	22575
9	56381885	2188713189	38.82	0	10700
ML552055	47661	135126	2.84	0	45
ML552056	46909	1529307	32.60	0	305
ML552057	40232	16988185	422.26	0	14288
ML552058	28202	5091727	180.54	0	3522
ML552059	21634	1222081	56.49	0	1785
total	395731502	14439660674	36.49	0	50292
