chrom	length	bases	mean	min	max
1	41732233	2155710990	51.66	0	44237
2	47849963	2267712236	47.39	0	21315
3	50382502	2276991227	45.19	0	24107
4	39677845	1940591539	48.91	0	22040
5	46702114	2238130813	47.92	0	24646
6	36371416	1860472160	51.15	0	34846
7	35460007	2195245761	61.91	0	30869
8	40988899	1820586392	44.42	0	34030
9	56381885	3086959608	54.75	0	23372
ML552055	47661	324536	6.81	0	72
ML552056	46909	1474742	31.44	0	199
ML552057	40232	18921122	470.30	0	14968
ML552058	28202	6575183	233.15	0	4351
ML552059	21634	1939740	89.66	0	2735
total	395731502	19871636049	50.21	0	44237
