chrom	length	bases	mean	min	max
1	41732233	1734087854	41.55	0	27329
2	47849963	1810808278	37.84	0	29703
3	50382502	1754436490	34.82	0	20038
4	39677845	1500688520	37.82	0	20816
5	46702114	1784555632	38.21	0	19583
6	36371416	1469541603	40.40	0	22188
7	35460007	1613338313	45.50	0	29874
8	40988899	1356026149	33.08	0	20717
9	56381885	2534536338	44.95	0	21633
ML552055	47661	98770	2.07	0	39
ML552056	46909	1083421	23.10	0	60
ML552057	40232	9470351	235.39	0	9016
ML552058	28202	3117214	110.53	0	2473
ML552059	21634	1121432	51.84	0	1012
total	395731502	15572910365	39.35	0	29874
