chrom	length	bases	mean	min	max
1	41732233	1775383669	42.54	0	23129
2	47849963	1854145859	38.75	0	15861
3	50382502	1841923597	36.56	0	16542
4	39677845	1693628843	42.68	0	17261
5	46702114	1918795516	41.09	0	22246
6	36371416	1399912146	38.49	0	22488
7	35460007	1705632366	48.10	0	25743
8	40988899	1446564672	35.29	0	21226
9	56381885	2574188032	45.66	0	18506
ML552055	47661	108321	2.27	0	39
ML552056	46909	948085	20.21	0	228
ML552057	40232	14169547	352.20	0	4423
ML552058	28202	3442429	122.06	0	2656
ML552059	21634	5465401	252.63	0	2456
total	395731502	16234308483	41.02	0	25743
