chrom	length	bases	mean	min	max
1	41732233	834317156	19.99	0	23467
2	47849963	862607971	18.03	0	17723
3	50382502	816595305	16.21	0	17427
4	39677845	746214658	18.81	0	18962
5	46702114	832490378	17.83	0	16713
6	36371416	767238013	21.09	0	21293
7	35460007	804026016	22.67	0	22042
8	40988899	673747567	16.44	0	17960
9	56381885	1414290688	25.08	0	20135
ML552055	47661	57742	1.21	0	21
ML552056	46909	756508	16.13	0	154
ML552057	40232	2915719	72.47	0	1294
ML552058	28202	1655291	58.69	0	1220
ML552059	21634	715345	33.07	0	1039
total	395731502	7757628357	19.60	0	23467
