chrom	length	bases	mean	min	max
1	41732233	1616707445	38.74	0	26842
2	47849963	1672675661	34.96	0	14086
3	50382502	1659429657	32.94	0	14437
4	39677845	1373636099	34.62	0	6805
5	46702114	1687681309	36.14	0	35234
6	36371416	1253671773	34.47	0	14000
7	35460007	1715931631	48.39	0	28793
8	40988899	1318181546	32.16	0	18783
9	56381885	2109821306	37.42	0	11222
ML552055	47661	135369	2.84	0	54
ML552056	46909	1448489	30.88	0	275
ML552057	40232	10711762	266.25	0	9782
ML552058	28202	4129184	146.41	0	2428
ML552059	21634	1255937	58.05	0	1495
total	395731502	14425417168	36.45	0	35234
