chrom	length	bases	mean	min	max
1	41732233	1556620259	37.30	0	26023
2	47849963	1586031799	33.15	0	16530
3	50382502	1691891439	33.58	0	20017
4	39677845	1360642818	34.29	0	16597
5	46702114	1592998505	34.11	0	38759
6	36371416	1323588519	36.39	0	19375
7	35460007	1439910034	40.61	0	32198
8	40988899	1175602471	28.68	0	17413
9	56381885	2255926792	40.01	0	18847
ML552055	47661	51279	1.08	0	22
ML552056	46909	826227	17.61	0	78
ML552057	40232	20011345	497.40	0	20966
ML552058	28202	2697680	95.66	0	2108
ML552059	21634	1088632	50.32	0	1028
total	395731502	14007887799	35.40	0	38759
