chrom	length	bases	mean	min	max
1	41732233	2475631005	59.32	0	27068
2	47849963	2251237029	47.05	0	10398
3	50382502	2215364180	43.97	0	16680
4	39677845	1840812181	46.39	0	6006
5	46702114	2273627640	48.68	0	38821
6	36371416	1675043371	46.05	0	9892
7	35460007	2466080578	69.55	0	35231
8	40988899	1760761691	42.96	0	21333
9	56381885	2788381414	49.46	0	14063
ML552055	47661	916917	19.24	0	112
ML552056	46909	1831792	39.05	0	295
ML552057	40232	6248400	155.31	0	2545
ML552058	28202	8977701	318.34	0	5607
ML552059	21634	1259341	58.21	0	1679
total	395731502	19766173240	49.95	0	38821
