chrom	length	bases	mean	min	max
1	41732233	1926461897	46.16	0	40073
2	47849963	1937173051	40.48	0	21923
3	50382502	1997749530	39.65	0	23451
4	39677845	1714456828	43.21	0	21228
5	46702114	2040630986	43.69	0	54634
6	36371416	1579335768	43.42	0	24514
7	35460007	1934348421	54.55	0	29951
8	40988899	1593602263	38.88	0	23337
9	56381885	2825512422	50.11	0	24569
ML552055	47661	300446	6.30	0	61
ML552056	46909	798611	17.02	0	151
ML552057	40232	4644244	115.44	0	2290
ML552058	28202	5280842	187.25	0	3810
ML552059	21634	685531	31.69	0	822
total	395731502	17560980840	44.38	0	54634
