chrom	length	bases	mean	min	max
1	41732233	1241785105	29.76	0	37555
2	47849963	1228647444	25.68	0	22963
3	50382502	1257260435	24.95	0	22934
4	39677845	1150757216	29.00	0	22926
5	46702114	1300881745	27.85	0	27096
6	36371416	1081961590	29.75	0	27560
7	35460007	1203426521	33.94	0	23468
8	40988899	1012326261	24.70	0	23377
9	56381885	2040025373	36.18	0	25362
ML552055	47661	200792	4.21	0	41
ML552056	46909	1084056	23.11	0	188
ML552057	40232	8805897	218.88	0	8812
ML552058	28202	2741486	97.21	0	2134
ML552059	21634	970601	44.86	0	1434
total	395731502	11530874522	29.14	0	37555
