chrom	length	bases	mean	min	max
1	41732233	1699779855	40.73	0	33313
2	47849963	1777397071	37.15	0	27405
3	50382502	1664469846	33.04	0	14527
4	39677845	1348796273	33.99	0	3311
5	46702114	1679486246	35.96	0	27347
6	36371416	1365994209	37.56	0	45152
7	35460007	1666636310	47.00	0	24974
8	40988899	1275389115	31.12	0	9016
9	56381885	2025751732	35.93	0	7222
ML552055	47661	1372013	28.79	0	85
ML552056	46909	1222681	26.06	0	145
ML552057	40232	13392158	332.87	0	7986
ML552058	28202	4672078	165.66	0	2990
ML552059	21634	1130139	52.24	0	1490
total	395731502	14525489726	36.71	0	45152
