chrom	length	bases	mean	min	max
1	41732233	2165242632	51.88	0	32492
2	47849963	1907871913	39.87	0	5628
3	50382502	1958576177	38.87	0	20330
4	39677845	1576206017	39.73	0	6015
5	46702114	1983847669	42.48	0	29676
6	36371416	1582580894	43.51	0	26996
7	35460007	1849166546	52.15	0	25793
8	40988899	1526610097	37.24	0	11649
9	56381885	2451856793	43.49	0	9701
ML552055	47661	326841	6.86	0	71
ML552056	46909	1761666	37.55	0	326
ML552057	40232	12285345	305.36	0	7491
ML552058	28202	3458117	122.62	0	2294
ML552059	21634	1162812	53.75	0	1445
total	395731502	17020953519	43.01	0	32492
