chrom	length	bases	mean	min	max
1	41732233	1416430108	33.94	0	29699
2	47849963	1350067254	28.21	0	21347
3	50382502	1377491094	27.34	0	21729
4	39677845	1185800078	29.89	0	23670
5	46702114	1450001217	31.05	0	28768
6	36371416	1061952419	29.20	0	27349
7	35460007	1319946935	37.22	0	21808
8	40988899	1156446944	28.21	0	22321
9	56381885	2123788205	37.67	0	24669
ML552055	47661	75293	1.58	0	27
ML552056	46909	577270	12.31	0	100
ML552057	40232	14790269	367.62	0	9919
ML552058	28202	3307488	117.28	0	2499
ML552059	21634	2763945	127.76	0	3417
total	395731502	12463438519	31.49	0	29699
