chrom	length	bases	mean	min	max
1	41732233	1348031462	32.30	0	25208
2	47849963	1355355010	28.33	0	24805
3	50382502	1392584386	27.64	0	26139
4	39677845	1210141404	30.50	0	25377
5	46702114	1341615217	28.73	0	25747
6	36371416	1106005541	30.41	0	29617
7	35460007	1305347585	36.81	0	27208
8	40988899	1189343986	29.02	0	26746
9	56381885	2203020080	39.07	0	27868
ML552055	47661	952862	19.99	0	48
ML552056	46909	807237	17.21	0	56
ML552057	40232	7765606	193.02	0	2349
ML552058	28202	3128489	110.93	0	2496
ML552059	21634	3842631	177.62	0	1754
total	395731502	12467941496	31.51	0	29617
