chrom	length	bases	mean	min	max
1	41732233	1391448061	33.34	0	29528
2	47849963	1386260279	28.97	0	15174
3	50382502	1431782214	28.42	0	15220
4	39677845	1240563661	31.27	0	14983
5	46702114	1449385885	31.03	0	32269
6	36371416	1184330745	32.56	0	47645
7	35460007	1498653587	42.26	0	27487
8	40988899	1157967007	28.25	0	17150
9	56381885	2039650543	36.18	0	16812
ML552055	47661	199988	4.20	0	44
ML552056	46909	939930	20.04	0	95
ML552057	40232	6104085	151.72	0	4669
ML552058	28202	4578996	162.36	0	3276
ML552059	21634	970340	44.85	0	1541
total	395731502	12792835321	32.33	0	47645
